acronym	title	location
IoTMO 2020	Advanced Internet of Things for Medicine and Others - IoTMO 2020  The Internet of Things and Services	New York
DS 2020	23rd International Conference on Discovery Science	Thessaloniki, Greece
CBR-MD 2020	International Workshop Case-Based Reasoning CBR-MD 2020	New York
ICDM 2020	20th IEEE International Conference on Data Mining	Sorrento, Italy
IDEAL 2020	IDEAL 2020 : Intelligent Data Engineering and Automated Learning	Guimarães, Portugal
SWC-MWPD 2020	Semantic Web Challenge on Mining the Web of HTML-embedded Product Data (@ISWC2020)	Athens
SCOPUS-CCEAI 2021	5th International Conference on Control Engineering and Artificial Intelligence (CCEAI 2021)	Phuket, Thailand
EI/SCOPUS-ICDPR 2021	5th International Conference on Data Processing and Robotics (ICDPR 2021)	Phuket, Thailand
BDSIC--EI, Scopus 2020	2020 2nd International Conference on Big-data Service and Intelligent Computation (BDSIC 2020)--EI Compendex, Scopus	Xiamen University of Technology, Xiamen,
CISDM 2020	2020 2nd European Conference on Information System and Data Mining (CISDM 2020)	Saint Petersburg, Russia
COMPLEX NETWORKS 2020	COMPLEX NETWORKS 2020 : The Ninth International Conference on Complex Networks and their Applications	Madrid
ADC 2020	The 31st Australasian Database Conference	Melbourne
DMKD 2021	2021 4th International Conference on Data Mining and Knowledge Discovery(DMKD 2021)	Chiang Mai, Thailand
BIGML  2020	International conference on Big Data, Machine learning and Applications 	Vienna, Austria
SIGML 2020	International Conference on Signal Processing and Machine Learning	Sydney, Australia
DaKM 2020	5th International Conference on Data Mining & Knowledge Management	Vienna, Austria
ICGDA--ACM, Ei and Scopus 2020	ACM--2020 3rd International Conference on Geoinformatics and Data Analysis (ICGDA 2020)--EI Compendex, SCOPUS	Marseille, France
ISC 2020	18th Annual Industrial Simulation Conference	University College Dublin (UCD)
MLBD 2020	Machine Learning for Big Data track of the 34th International ECMS Conference on Modelling and Simulation	Wildau near Berlin, Germany
ICDMML 2020	【EI SCOPUS】2020 International Conference on Data Mining and Machine Learning	Bangalore, India
DSBFI 2020	2nd ISSAT International Conference on Data Science in Business, Finance and Industry	Da Nang, Vietnam
ICKE--Ei Compendex, Scopus 2020	2020 6th International Conference on Knowledge Engineering (ICKE 2020)--Ei Compendex, Scopus	Okayama, Japan
APWeb-WAIM 2020	The 4th APWeb-WAIM International Joint Conference on Web and Big Data	Tianjin, China
CIMB 2020	EAIS2020 Special Session on Computational Intelligence methods in bioinformatics	Bari, Italy
BigData Conference 2020	2020 International Conference on Big Data Call for Papers- EI Compendex and Scopus	Honolulu, Hawaii, USA
ACM--ICBDE--EI Compendex, Scopus 2020	ACM--2020 The 3rd International Conference on Big Data and Education (ICBDE 2020)--EI Compendex, Scopus	London, UK
IDT 2020	12th International Conference on Intelligent Design Technologies	Split, Croatia
MLA 2020	The International Workshop on Machine Learning Applications	Marrakech, Morocco
IEEE--ICIM--Ei Compendex, Scopus 2020	2020 the 6th International Conference on Information Management (ICIM 2020)--IEEE, Ei Compendex, Scopus	Imperial College London, London, UK
TempWeb 2020	The 10th Temporal Web Analytics Workshop 2020 (@ The Web Conference)	Taipei, Taiwan
Ei/Scopus-CMVIT 2020	4th International Conference on Machine Vision and Information Technology	Sanya, China
INSIGHT 2020	INSIGHT - scientific data from an aesthetic perspective	Vienna
Sideways 2020	6th International Workshop on Social Media World Sensors @ THE WEB CONFERENCE 2020	Taipei
IEA/AIE 2020	33rd International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems	Kitakyushu, Japan
ACM--ICCDA--Ei, Scopus 2020	ACM--2020 The 4th International Conference on Compute and Data Analysis (ICCDA 2020)--Ei Compendex, Scopus	Silicon Valley, USA
ICBCT--ACM, EI Compendex and Scopus 2020	ACM--2020 The 2nd International Conference on Blockchain Technology (ICBCT 2020)--EI Compendex and Scopus	Hilo, Hawaii, USA
ICDM 2020	20th Industrial Conference on Data Mining ICDM 2020	New York, USA
ICDM 2020	20th Industrial Conference on Data Mining ICDM 2020	New York, USA
ICDM 2020	20th Industrial Conference on Data Mining ICDM 2020	New York, USA
ICBDA--IEEE, Ei Compendex and Scopus 2020	IEEE--2020 The 5th International Conference on Big Data Analytics (ICBDA 2020)--Ei Compendex, Scopus	Xiamen, China
BigVis 2020	3rd Intl.  Workshop on Big Data Visual Exploration and Analytics	Copenhagen, Denmark
DASFAA 2020	Database Systems for Advanced Applications	Seoguipo KAL Hotel, Jeju, Korea
Ei/Scopus-ICDPR 2020	4th International Conference on Data Processing and Robotics	Singapore
DEDA 2020	Special Issue on Data-Enabled Discovery for Industrial Cyber-Physical Systems	N/A
CLDD 2020	Classifier Learning from Difficult Data 2020 (ICCS 2020 workshop)	Amsterdam, The Netherlands
ACM--BDET--Ei and Scopus 2020	ACM--2020 2nd International Conference on Big Data Engineering and Technology (BDET 2020)--Ei Compendex, Scopus	Singapore
HCCS 2020	Second Workshop on Human-Centered Computational Sensing (HCCS'20) @ PerCom 2020	Austin, Texas, USA
ICACI 2020	12th International Conference on Advanced Computational Intelligence	Dali, Yunmnan, China
APIT--ACM, EI, Scopus 2020	ACM--2020 2nd Asia Pacific Information Technology Conference (APIT 2020)--EI Compendex, Scopus	Bali Island, Indonesia
APIT--EI Compendex, Scopus 2020	2020 2nd Asia Pacific Information Technology Conference (APIT 2020)--EI Compendex, Scopus	Bali Island, Indonesia
ICSCM--Ei Compendex, Scopus 2020	2020 International Conference on Supply Chain Management (ICSCM 2020)--Ei Compendex, Scopus	Hosei University, Tokyo, Japan
IFAC World Congress SIMCA 2020	IFAC World Congress SIMCA 2020 : IFAC WORLD CONGRESS '2020 OPEN INVITED TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS	Berlin, Germany
AIHealth@FLAIRS 2020	AI in Healthcare Informatics Special Track at FLAIRS	North Miami Beach, FL
FLAIRS 2020	DataMining@FLAIRS2020	North Miami Beach, Florida
ACM--ICBDSC--Ei Compendex, Scopus 2020	ACM--2020 The 3rd International Conference on Big Data and Smart Computing (ICBDSC 2020)--Ei Compendex, Scopus	Sydney, Australia
ACM--ICVIP--Ei Compendex, Scopus 2019	ACM--2019 The 3rd International Conference on Video and Image Processing (ICVIP 2019)--Ei Compendex, Scopus	Shanghai, China
ACM--ICCDE--Ei, Scopus 2020	ACM--2020 the 6th International Conference on Computing and Data Engineering (ICCDE 2020)--Ei Compendex, Scopus	Sanya, China
VIPERC 2020	Visual Pattern Extraction and Recognition for Cultural Heritage Understanding Workshop	Bari, Italy
BFNDMA 2019	Big Food and Nutrition Data Management and Analysis	Los Angeles, CA, USA
BTSD  2019	Workshop on Big Data Tools and Use Cases for Innovative Scientific Discovery (BTSD) 2019 @IEEE BigData 2019 LA, USA	LA, USA
SDM 2020	SIAM International Conference on Data Mining	Cincinnati, Ohio, USA
AMME 2019	【ACM ICPS EI SCOPUS】2019 Annual Meeting on Management Engineering	Kuala Lumpur, Malaysia
ICIIP 2019	【ACM ICPS EI SCOPUS】2019 4th International Conference on Intelligent Information Processing	Kuala Lumpur, Malaysia
BigGraphs 2019	Sixth International Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Los Angeles, CA, USA
AI3D 2019	Second International Workshop on Artificial Intelligence for 3D Big Spatial Data Processing	San Diego, California, USA
IC5G--ACM, EI, Scopus 2019	ACM--2019 The 3rd International Conference on 5G (IC5G 2019)--EI Compendex, Scopus	Tokyo University of Science, Japan
MSA 2019	38th Scientific Conference on Multivariate Statistical Analysis MSA 2019	Lodz, Poland
MLPMEA 2019	Special Session On Machine Learning for Predictive Models in Engineering Applications, ICMLA 2019	Boca Raton, Florida, USA
ICMLA 2019	18th IEEE International Conference on Machine Learning and Applications	Boca Raton, Florida, USA
COMPLEX NETWORKS  2019	The 8th International Conference on Complex Networks and their Applications	Lisbon
BigScholar 2019	CIKM 2019 Workshop on Big Scholarly Data	Beijing, China
TAAI 2019	The 24th Conference on Technologies and Applications of Artificial Intelligence	Kaohsiung, Taiwan
IEEE BigData 2019	IEEE International Conference on Big Data	Los Angeles, CA
IntDMBC  2019	Intelligible Data Mining models for Bioinformatics and Chemoinformatics 	 Beijing, China
WSDM 2020	ACM International Conference on Web Search and Data Mining	Houston, TX, USA
AMLTA - 2020	5th International Conference on Advanced Machine Learning Technologies and Applications	Manipal University Jaipur, India
AusDM 2019	The 17th Australasian Data Mining Conference	Adelaide, Australia
Australasian AI conference 2019	AI2019	Adelaide
BDSIC--EI, Scopus 2019	2019 International Conference on Big-data Service and Intelligent Computation (BDSIC 2019)--EI Compendex, Scopus	Wuhan, China
DeepSpatial 2019	1st IEEE ICDM Workshop on Deep Learning for Spatiotemporal Data, Algorithms, and Systems	Beijing, China
ICDM MLCS 2019	1st IEEE ICDM Workshop on Multilingual Cognitive Services	Beijing, China
DLID 2019	2nd Deep Learning on Irregular Domains Workshop at IEEE ICDM'19	Beijing, China
DMIIOT 2019	IEEE ICDM workshop - Data Mining in Industrial Internet of Things (DMIIOT)	Beijing
DaMNet 2019	DaMNet 2019 : The 9th IEEE ICDM Workshop on Data Mining in Networks	Beijing, China
CDEC 2019	The 2nd International Workshop on Cross-disciplinary Data Exchange and Collaboration	Beijing, China
DaMNet 2019	DaMNet 2019 : The 9th IEEE ICDM Workshop on Data Mining in Networks	Beijing, China
DMIP--ACM, EI Compendex, Scopus 2019	CBEES--2019 Annual International Conference on Digital Media and Information Processing (DMIP 2019)--ACM, EI Compendex, Scopus	Wuhan University, China
ACM--ICKIM--EI Compendex, Scopus 2019	ACM--2019 International Conference on Knowledge and Information Management (ICKIM 2019)--EI Compendex, Scopus	Wuhan University, China
Special Issue on Learning from IoT Data 2019	ACM Transactions on Data Science: Special Issue on Retrieving and Learning from Internet of Things Data	N/A
IEEE CICS 2019	IEEE Symposium on Computational Intelligence in Cyber Security	Xiamen, China
CSoNet 2019	The International Conference on Computational Data & Social Networks	Ho Chi Minh City, Vietnam
IDEAL 2019	Intelligent Data Engineering and Automated Learning	Manchester
ABCSS 2019	The 4th International Workshop on Application of Big Data for Computational Social Science	Thessaloniki, Greece
AILA 2019	Artificial Intelligence for Legal Assistance	Indian Statistical Institute, Kolkata
IEEE ICDM  2019	IEEE ICDM 2019: Call for Tutorials	Beijing, China
FSDM 2019	5th International Conference on Fuzzy Systems and Data Mining	Kitakyushu, Japan
ORSUM 2019	2nd Workshop on Online Recommender Systems and User Modeling @ ACM RecSys 2019	Copenhagen, Denmark 
CrowdRE 2019	The International Workshop on Crowd-Based Requirements Engineering	Jeju Island, South Korea
Sideways 2019	International Workshop on Social Media World Sensors	Hof, Germany
DHC 2019	Digital Humanities and Digital Curation (DHC2019) - Special Track on 13th International Conference on Metadata and Semantics Research (MTSR2019)	Rome, Italy
DataMod 2019	8th International Symposium “From Data to Models and Back (DataMod)”	Porto (Portugal)
UMCit 2019	2nd International Workshop on Knowledge Discovery and User Modelling for Smart Cities 	Wurzburg, Germany
AALTD@ECML 2019	4th Workshop on Advanced Analytics and Learning on Temporal Data	Wrutzburg (Germany)
MLSA 2019	6th Workshop on Sports Analytics (MLSA19) @ ECML PKDD 2019	Würzburg
MARAMI  2019	Tenth Conference on Network Modeling & Analysis	Dijon, France
Big Data & AI 2019	2019 The 7th International Workshop on Big Data & AI	Guilin, China
CIARP 2019	24th Iberoamerican Congress on Pattern Recognition	Havana, Cuba
ECMLPKDD PhD_Forum 2019	CFP: ECMLPKDD PhD Forum 2019	Würzburg
RSSDS2019	[Springer CCIS] RESEARCH SCHOOL ON STATISTICS AND DATA SCIENCE  2019 [DBLP, Google Scholar, Scopus, Web of Science] 	Melbourne Australia
AIMLAI-XKDD 2019	Joint International Workshop on Advances in Interpretable Machine Learning and Artificial Intelligence & eXplainable Knowledge Discovery in Data Mining	Würzburg
Signal 2019	6th International Conference on Signal and Image Processing 	Copenhagen, Denmark
MIDAS 2019	4th Workshop on MIning DAta for financial applicationS	Wurzburg, Germany
IEEE ICDM 2019	ICDM 2019: The 19th IEEE International Conference on Data Mining	Beijing, China
ICDIM 2019	Fourteenth International Conference on Digital Information Management	Dublin, Ireland
BigDaCI 2019	4th International Conference on Big Data Analytics, Data Mining and Computational Intelligence 2019	Porto, Portugal
COMML 2020	International Conference on Optimization, Metaheuristics and Machine Learning	Xi'an
MLIS 2019	2019 International Conference on Machine Learning and Intelligent Systems	Hualien, Taiwan
BESC 2019	The 6th International Conference on Behavioral, Economic, and Socio-Cultural Computing	Beijing，China
GCCE-OSDSC 2019	GCCE 2019: Organized Session on Data Science and Its Application to Consumer Technology	Osaka, Japan
AKTS 2019	Special Session on Innovative Applications for Knowledge Transfer Support	Vilnius, Lithuania
DIM 2019	The Eighth IEEE International Workshop on Data Integration and Mining	Los Angeles, CA, USA
DSAA 2019	The 6th IEEE International Conference on Data Science and Advanced Analytics (DSAA 2019)	Washington DC, USA
BESC 2019	The 6th International Conference on Behavioral, Economic,  and Socio-Cultural Computing 	Beijing，China
COPA 2019	8th Symposium on Conformal and Probabilistic Prediction with Applications	Golden Sands, Bulgaria
TrueFact 2019	KDD 2019 Workshop on Truth Discovery and Fact Checking: Theory and Practice	KDD 2019, Anchorage, Alaska
UrbComp -  2019	The 8th SIGKDD International Workshop on Urban Computing	Anchorage, Alaska - USA
CD 2019	KDD 2019 Workshop on Causal Discovery	Alaska
BIOKDD 2019	18th International Workshop on Data Mining in Bioinformatics (with SIGKDD 2019)	Anchorage, Alaska, United States
WISDOM 2019	8th KDD Workshop on Issues of Sentiment Discovery and Opinion Mining	Anchorage, Alaska
OASIS 2019	OPEN CHALLENGES IN ONLINE SOCIAL NETWORKS	Valencia
AIM@EPIA 2019	Artificial Intelligence in Medicine	Vila Real, Porto
RecSys 2019	13th ACM Conference on Recommender Systems	Copenhagen, Denmark
INFORMATIK DS 2019	INFORMATIK 2019 - Data Science Track	Kassel, Germany
Innovate-Data 2019	The 5th International Conference on Big Data Innovations and Applications  	Istanbul, Turkey
ACML 2019	The 11th Asian Conference on Machine Learning	Nagoya, Japan
HAIS 2019	The 14th International Conference on Hybrid Artificial Intelligence Systems	Leon, Spain
ECML PKDD 2019	Joint Call for Papers for the Research and ADS tracks, ECML PKDD 2019	Würzburg
DSIS 2019	ISSAT International Conference on Data Science and Intelligent Systems	Las Vegas, Nevada, USA
DSBFI 2019	ISSAT International Conference on Data Science in Business, Finance and Industry	Da Nang, Vietnam
ADBIS 2019	23rd European Conference on Advances in Databases and Information Systems	Bled, Slovenia
DMM 2019	Intern. Workshop on Data Mining in Marketing DMM'2019	New York
SEBD  2019	SEBD 2019: 27th Italian Symposium on Advanced Database Systems	Castiglione Della Pescaia, Italy
BIOKDD-DEXA 2019	BIOKDD-DEXA'19: CFP	Linz, Austria
IEEE ICDM Workshop  2019	IEEE ICDM 2019: Call for Workshop Proposals	Beijing, China
IWC 2019	IEEE ISI World Cup 2019 -- Big Data Analytics Competition	Shenzhen, China
SmartData 2019	The 5th IEEE International Conference on Smart Data	Atlanta, USA
DEW 2019	DEW 2018 : Data Exploration in the Web 3.0 Age (IEEE WETICE 2019 track)	Capri Island, Naples, Italy
SDM 2019	MLRec 2019 : 5th International Workshop on Machine Learning Methods for Recommender Systems	Hyatt Regency Calgary, Calgary, Alberta,
ECMS-DSM 2019	Data Stream Analytics track of the 33rd INTERNATIONAL ECMS CONFERENCE ON MODELLING AND SIMULATION	Caserta, Area of Napoli, Italy
EDM 2019	The 12th International Conference on Educational Data Mining	Montreal, Canada
WPDM 2019	The Third International Workshop on Parallel and Distributed Data Mining	Saint Petersburg University, Saint Peter
Decision Support Systems 2019	Decision Support Systems - Special Session of KES IDT 2019	St'Julian, Malta
EDML 2019	1st Workshop on Evaluation and Experimental Design in Data Mining and Machine Learning @ SDM 2019	Calgary
DSA 2019	The Frontiers in Intelligent Data and Signal Analysis DSA 2019	New York
MLDM 2019	15th International Conference on Machine Learning and Data Mining MLDM 2019	New York
WSDM  2019	International Workshop on Web Search and Data Mining 	Leuven, Belgium
SoMePeAS 2019	ECIR 2019 Workshop on Social Media for Personalization And Search	Cologne, Germany
KDD 2019	25TH ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING	Anchorage, Alaska - USA
FEND 2019	Workshop on Data Mining for Fake News in Social Media: Propagation, Detection, and Mitigation (FEND'19)@ SDM 2019	Alberta, Canada
Идентификация 2019	Секция «ИДЕНТИФИКАЦИЯ СИСТЕМ» в рамках XIII Всероссийского совещания по проблемам управления	Москва, Россия
SIMCA 2019	IFAC MIM'2019 SIMCA Open Invited Track	Berlin, Germany
PDDM 2018	Special Issue  on Parallel and Distributed Data Mining	N/A
ICFCA 2019	The 15th International Conference on Formal Concept Analysis	Frankfurt, Germany
IADSDTP 2019	Interdisciplinary Approaches in Data Science and Digital Transformation Practice	St. Julians, Malta
iDSC 2019	2nd International Data Science Conference	Salzburg / Austria
WinDS 2019	Women in Web Data Science	San Francisco - CA
BDAS 2019	15th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
ICCB 2019	8th International Conference on Computational Bioengineering (ICCB2019)	Belgrade
SOCO 2019	14th International Conference on Soft Computing Models in Industrial and Environmental Applications	Seville, Spain
RSBD on ICDE 2019	ICDE'19 Workshop on Recommender Systems with Big Data	Macau, China
ICDM 2019	19th Industrial Conference on Data Mining ICDM 2019	New York
APIT 2019	2019 Asia Pacific Information Technology Conference APIT in Jeju Island, South Korea	Jeju Island, South Korea
Task Intelligence - WSDM 2019	Task Intelligence Workshop at WSDM 2019	Melbourne, Australia
AIHealth@FLAIRS 2019	AI in Healthcare Informatics Special Track at FLAIRS	Sarasota, FL
APIT 2019	2019 Asia Pacific Information Technology Conference APIT in Jeju Island, South Korea	Jeju Island, South Korea
ITNG 2019	16th International Conference on Information Technology: New Generations	Las Vegas, NV
SI-TNNLS-SMLMATA 2018	TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications	N/A
BDMIOM 2018	The 1st International Workshop on Big Data for Marketing Intellegence and Operation Management	Seattle, WA
AutoML 2018	The Second International Workshop on Automation in Machine Learning and Big Data	Seattle, WA, USA
