acronym	title	location
BROAD 2020	Where to from here? Algorithmic, Legal, and Societal Challenges for Autonomous Driving	Las Vegas, IEEE Intelligent Vehicles
MECHATROJ 2020	Mechatronics and Applications: An International Journal 	N/A
SCAI 2020	9th International Conference on Soft Computing, Artificial Intelligence and Applications	Sydney, Australia
IJCSA 2020	International Journal on Computational Science & Applications	N/A
UBIC  2020	11th International Conference on Ubiquitous Computing 	Sydney, Australia
 NECO 2020	9th International Conference of Networks and Communications	Sydney, Australia
LASCAR 2020	2nd Workshop on Large Scale RDF Analytics (LASCAR-20) at ESWC'20 (extended submission deadline) 	Heraklion, Crete, Greece
TSP 2020	2020 43rd International Conference on Telecommunications and Signal Processing (TSP) - IEEE R8 | IEEE Xplore® | SCOPUS	Milan
ICANN 2020	29th International Conference on Artificial Neural Networks	Bratislava, Slovakia
SS-MSPC 2020	Special Session on Multimodal Signal Processing and Classification	Milan
ICONS 2020	International Conference on Neuromorphic Systems 2020	Chicago, IL
FUSION 2020	2020 23rd International Conference on Information Fusion	Sun City, South Africa
LNLM-SI-DL 2020	Special Issue on Deep Learning Methods: Trends and Applications	N/A
AHMIS--EI, Scopus 2020	2020 Asia Human-Computer Interaction Symposium (AHMIS 2020)--EI Compendex, Scopus	Shanghai, China
IET Smart Cities 2020	IET Smart Cities: Geospatial Sensing, Mining & Analytics for Smart Cities 	N/A
COUrT 2020	COUrT – CaiSE for Legal Documents Workshop, June 8, 2020, Grenoble 	Grenoble, France
NTIRE 2020	CVPR 2020- New Trends in Image Restoration and Enhancement workshop and challenges	Seattle, Washington
SwissText & KONVENS 2020	5th SwissText & 16th KONVENS Joint Conference 2020	Zurich
MIUA 2020	24th Conference on Medical Image Understanding and Analysis	Oxford, UK
WiCV@CVPR 2020	7th Women in Computer Vision Workshop at CVPR 2020	Seattle
MobiSocial 2020	5th International  Workshop on Mobile Data Management, Mining, and Computing on Social Network	Versailles, France
DMBD 2020	The Fifth International Conference of Data Mining and Big Data	Belgrade, Serbia
ICAII--ACM, Ei Compendex, Scopus 2020	ACM--2020 International Conference on Artificial Intelligence Innovation (ICAII 2020)--Ei Compendex, Scopus	Chengdu, China
AI4XR 2020	International Workshop on Artificial Intelligence for Extended Reality	Corfu, Greece
IEEE SmartSys 2020	5th IEEE Workshop on Smart Service Systems (SmartSys)	Bologna, Italy
CSE  2020	8th International Conference on Computational Science and Engineering	Dubai, UAE
SCOM  2020	8th International Conference on Soft Computing	Sydney, Australia
MLVis 2020	International Workshop on Machine Learning in Visualisation for Big Data 2020	Norrköping, Sweden
IEEE COINS 2020	 Internet of Things IoT | Artificial Intelligence | Machine Learning | Big Data | Blockchain | Edge & Cloud Computing | Security | Embedded Systems | Circuit and Systems | WSN | 5G	Barcelona, Spain
FAIML 2020-Ei Compendex & Scopus 2020	2020 2nd International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2020)	Berlin, Germany
ICIEI--Ei and SCOPUS 2020	2020 The 5th International Conference on Information and Education Innovations (ICIEI 2020)--Ei compendex, scopus	London, United Kingdom
SiMLA 2020	2nd Workshop of Security in Machine Learning and its Applications	Rome, Italy
AI ML Big Data Vision 2020	IEEE COINS  | Artificial Intelligence | Machine Learning | Deep Learning | Machine Vision | Big Data Analytics | Video Analytics | Speech Recognition | NLP 	Barcelona, Spain
ECML PKDD 2020	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Ghent, Belgium
ECML PKDD 2020	ECML PKDD Call for Research/Applied Data Science papers	Ghent
Data Science  2020	3nd Annual International Great Lakes Data Science Symposium	Erie, PA
FGVC7 2020	Fine-Grained Visual Categorization Workshop @ CVPR 2020	Seattle, WA
WASSEE 2020	Workshop for Automotive Software Systems Engineering Education	Munich, Germany
CD-MAKE 2020	4th International IFIP Cross Domain Conference for Machine Learning & Knowledge Extraction	University College Dublin
PRML--Ei Compendex, Scopus 2020	2020 International Conference on Pattern Recognition and Machine Learning (PRML 2020)--Ei Compendex, Scopus	Sichuan University, Chengdu, China
IPMV--ACM, Ei, Scopus 2020	ACM--2020 2nd International Conference on Image Processing and Machine Vision (IPMV 2020)--EI Compendex, Scopus	Bangkok, Thailand 
INTERSPEECH 2020	INTERSPEECH	Shanghai
MCUBED 2020	Mcubed AI London - AI, ML and analytics conference	London
IEEE-CVIV 2020	2020 2nd International Conference on Advances in Computer Vision, Image and Virtualization (CVIV 2020)	Suzhou, China
DLonSC 2020	The 4th International Workshop on Deep Learning on Supercomputers	Frankfurt, Germany
MODA  2020	First International Workshop on Monitoring and Operational Data Analytics (MODA)	Frankfurt, Germany
DeLTA 2020	1st International Conference on Deep Learning Theory and Applications	Lieusaint - Paris, France
AICON 2020	2nd EAI International Conference on Artificial Intelligence for Communications and Networks	Shenzhen, People's Republic of China
ACM-WCBD-Ei/Scopus 2020	2020 International Conference on Wireless Communication and Big Data  (WCBD 2020)	 Sanya, China 
META-MACHINE-SYNERGISTIC  2020	Metaheuristic schemes and Machine learning techniques: A synergistic perspective. (Applied Mathematical Modelling Elsevier IF=2.841, Q1)	N/A
BI 2020	13th International Conference on Brain Informatics	Padova, Italy
KES 2020	Classification, forecasting and decision support - invited session at KES2020 	Verona, Italy
SAEOpt 2020	Workshop on  Surrogate-Assisted Evolutionary Optimisation (SAEOpt 2020) 	Cancun, Mexico
RWACMO, GECCO 2020	RWACMO, GECCO 2020: Workshop on Real-world Applications of Continuous and Mixed-integer Optimization, GECCO 2020	Cancun, Mexico
Scopus-PRIS 2020	 International Conference on Pattern Recognition and Intelligent Systems(PRIS 2020)	Athens, Greece
ICNLP--Ei Compendex and Scopus 2020	2020 2nd International Conference on Natural Language Processing (ICNLP 2020)--EI Compendex, Scopus	Guangzhou, China
BOOM 2020	5th IJCAI International Workshop on  Biomedical infOrmatics with Optimization and Machine learning (BOOM)	Yokohama, Japan
AIML 2020	IEEE Intl Workshop on Advances in AI and Machine Learning (AIML): Addressing Risks and Concerns	Madrid, Spain
CCIW 2020	2nd Workshop on Converged Computing Infrastructure	Stockholm, Sweden
ICCCV--Ei Compendex and Scopus 2020	2020 The 3rd International Conference on Control and Computer Vision (ICCCV 2020)--Ei Compendex, Scopus	Macao, China
FODS 2020	ACM-IMS Foundations of Data Science Conference	Seattle
CG  2020	Computers and Games 2020	Santiago de Compostela Spain
EAI MLICOM 2020	MLICOM 2020 - 5th EAI International Conference on Machine Learning and Intelligent Communications	Shenzhen, People's Republic of China
BDDLIT 2020	Special session on Big data and Deep Learning for Intelligent Transportation (AISI2020), Springer	Cairo, Egypt
CVIP 2020	5th INTERNATIONAL CONFERENCE ON COMPUTER VISION & IMAGE PROCESSING (CVIP2020)	IIIT Allahabad, India
SSPD 2020	Sensor Signal Processing for Defence Conference 2020	Edinburgh
ICAIF 2020	ACM International Conference on AI in Finance	New York City
ICAPAI 2020	International Conference on APplied Artificial Intelligence (ICAPAI 2020)	Halden, Norway
ASONAM 2020	The 2020 IEEE/ACM International Conference on. Advances in Social Networks Analysis and Mining	Netherlands
ACM--ICMLC--Ei and Scopus 2020	ACM--2020 12th International Conference on Machine Learning and Computing (ICMLC 2020)--SCOPUS, Ei Compendex	Shenzhen, China
FinCausal 2020	Call For Participation FinCausal 2020 Shared Task at FNP-FNS COLING 2020	Barcelona
YSC 2020	9th International Young Scientists Conference in Computational Science	Heraklion, Greece
EI/SCOPUS-DMCIT 2020	4th International Conference on Data Mining, Communications and Information Technology (DMCIT 2020)	Xi'an, China 
Big Data & AI 2020	The 8th International Workshop on Big Data and Artificial Intelligence, 2020	Chongqing, China
META 2020	Int. Conf. on Metaheuristics and Nature Inspired Computing	Marrakech, Morocco
ICTS4eHealth  2020	IEEE International Workshop on ICT Solutions for e-Health	Rennes, France
FL-IJCAI 2020	International Workshop on Federated Learning for User Privacy and Data Confidentiality in Conjunction with IJCAI 2020 (FL-IJCAI'20)	Yokohama, Japan
MCS 2020	Monte Carlo Search 2020, IJCAI Workshop	Yokohama, Japan
VS3 2020	Vision and Sports Summer School 2020	Prague, Czech Republic
IJAR Special Issue 2020	Special Issue of International Journal of Approximate Reasoning on Knowledge Enhanced Data Analytics for Autonomous Decision Making	N/A
ECML PKDD Industrial Track 2020	Call for ECML PKDD Industrial Track contributions	Ghent
NAMSP 2020	International Workshop on New Approaches for Multidimensional Signal Processing	Sofia
ICGI 2020	The 15th International Conference on Grammatical Inference	New York, USA
2nd AccML 2020	2nd Workshop on Accelerated Machine Learning (AccML)	Valencia, Spain
CodiEsp (eHealth CLEF 2020) 2020	CLEF-2020 CodiEsp: clinical text classification, indexing and explainable AI Task (eHealth CLEF 2020)	Thessaloniki, Greece
MLMI--Ei, Scopus 2020	2020 The 3rd International Conference on Machine Learning and Machine Intelligence (MLMI 2020)--Ei Compendex, Scopus	Hangzhou, China
SocialSec 2020	6th International Symposium on Security and Privacy in Social Networks and Big Data	Tianjin China
Scopus-MSME 2020	3rd International Conference on Materials Science and Manufacturing Engineering (MSME 2020) 	Sanya, China 
Scopus/EI-AIAAT 2020	4th International Conference on Artificial Intelligence Applications and Technologies (AIAAT 2020)	Shenzhen , China
MMSP 2020	IEEE 22nd International Workshop on Multimedia Signal Processing 	Tampere, Finland
EI/SCOPUS-FMVIP 2020	2020 International Conference on Frontiers of Machine Vision and Image Processing (FMVIP2020)	Chengdu, China
INIT/AERFAI SSML 2020	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
INIT/AERFAI SSML 2020	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
25th FRSM 2020	25th International symposium on Frontiers of Research in Speech and Music (FRSM 2020)	Silchar, India
NCTA 2020	12th International Conference on Neural Computation Theory and Applications	Budapest, Hungary
EComNLP 2020	COLING Workshop on NLP in E-Commerce 2020 (EComNLP)	Barcelona, Spain
SCOPUS-CGDIP 2020	4th International Conference on Computer Graphics and Digital Image Processing	Kunming, China
DSD  2020	The 1st International Conference of Data Mining and Software Development 	Stockholm, Sweden
TextGraphs 2020	14th Workshop on Graph-Based Natural Language Processing (TextGraphs-14)	Barcelona, Spain
NeurIPS 2020	Thirty-fourth Conference on Neural Information Processing Systems	Vancouver, Canada
DSAA 2020	IEEE International Conference on Data Science and Advanced Analytics	Sydney, Australia
ACM--SPML--EI Compendex, Scopus 2020	ACM--2020 3rd International Conference on Signal Processing and Machine Learning (SPML 2020)--EI Compendex, Scopus	Beijing, China
CBR-MD 2020	International Workshop Case-Based Reasoning CBR-MD 2020	New York
EI-BDAI 2020	2020 International Conference on Industrial Applications of Big Data and Artificial Intelligence (BDAI 2020)	Shenzhen, China
DS 2020	23rd International Conference on Discovery Science	Thessaloniki, Greece
Scopus-BDAI 2020	2020 International Conference on Industrial Applications of Big Data and Artificial Intelligence (BDAI 2020)	Shenzhen, China
BDL 2020	Workshop on BIG DATA & DEEP LEARNING in HIGH PERFORMANCE COMPUTING (IEEE Xplore)	Porto, Portugal
SPECOM 2020	22nd International Conference on Speech and Computer	St. Petersburg, Russia
ICDM 2020	20th IEEE International Conference on Data Mining	Sorrento, Italy
IDEAL 2020	IDEAL 2020 : Intelligent Data Engineering and Automated Learning	Guimarães, Portugal
ICTAI 2020	International Conference on Tools with Artificial Intelligence	Baltimore
IoTMonetization 2020	Special Issue (Q1 | IEEE IoT Journal): AI‐driven IoT Data Monetization: A Transition From “Value Islands” To “Value Ecosystems”	N/A
Edge-Fog-Cloud -IoT 2020	Special issue (Q1 journal: Elsevier Information System): Emerging Trends and Challenges in Edge-Fog-Cloud Interplay in the Internet of Things (IoT)	N/A
SWC-MWPD 2020	Semantic Web Challenge on Mining the Web of HTML-embedded Product Data (@ISWC2020)	Athens
FAPER 2020	Fine Art Pattern Extraction and Recognition (FAPER) workshop at ICPR2020	Milan, Italy
MAES 2020	Machine Learning Advances Environmental Science	ICPR2020, Milan, Italy
IEEE CiSt 2020	6th IEEE Congress on Information Science and Technology	Agadir - Essaouira, Morocco
MNLP 2020	4th IEEE Conference on Machine Learning and Natural Language Processing	Agadir – Essaouira
SCML 2020	2020 International Conference on Soft Computing and Machine Learning	Xiamen, China
EAI BDCC 2020	BDCC 2020 - 3rd EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Coimbatore, India
EI/SCOPUS-CCEAI 2021	5th International Conference on Control Engineering and Artificial Intelligence (CCEAI 2021)	Phuket, Thailand
JIST-KG 2020	Joint International Conference on Knowledge Graphs	Bangkok, Thailand
WSPML 2020	2020 2nd International Workshop on Signal Processing and Machine Learning (WSPML 2020)	Kuala Lumpur, Malaysia
MAAIDL 2020	Springer Book 'Malware Analysis using Artificial Intelligence and Deep Learning'	N/A
AICA 2020	O'Reilly AI Conference San Jose	San Jose, CA
AMW 2020	14th Alberto Mendelzon International Workshop on Foundations of Data Management	Cusco, Perú
AI4EIoTs 2020	Workshop on Artificial Intelligence for Emerging IoT Systems: Open Challenges and Novel Perspectives	Prague, Czech Republic
ICPR 2020	International Conference on Pattern Recognition 2020	Milan, Italy
Journal Special Issue 2019	Machine Learning on Scientific Data and Information	Hong Kong
DevOps 2020	International Summer School on Software Engineering and Continuous Development	GSSI - L'Aquila, Italy
LOPAL 2020	Second International Conference on Learning and Optimization Algorithms: Theory and Applications	Cordoba, Spain
WIA 2020	Women in Analytics Conference	Columbus, OH
21st EANN 2020	Engineering Applications of Neural Networks	PORTO CARRAS Resort Halkidiki Greece
16th AIAI 2020	16th Artificial Intelligence Applications and Innovations	PORTO CARRAS Resort Halkidiki Greece
BIGML  2020	International conference on Big Data, Machine learning and Applications 	Vienna, Austria
SIGML 2020	International Conference on Signal Processing and Machine Learning	Sydney, Australia
ISIC-SIAW-CVPR 2020	Fifth ISIC Skin Image Analysis Workshop @ CVPR 2020	Seattle, WA
ISPR 2020	The ACM international conference on Intelligent systems and Pattern recognition	Hammamet Tunis
MLBD 2020	Machine Learning for Big Data track of the 34th International ECMS Conference on Modelling and Simulation	Wildau near Berlin, Germany
ALA  2020	Adaptive and Learning Agents Workshop @ AAMAS 2020	Auckland, New Zealand
IEEE ISNCC 2020	2020 IEEE International Symposium on Networks, Computers and Communications	Montreal - Canada
FastPath 2020	FastPath 2020:  International Workshop on Performance Analysis of Machine Learning Systems (An ISPASS Workshop under the auspices of IEEE)	Boston, Massachusetts, United States
DATA 2020	AI and Big Data in Cancer: From Innovation to Impact	Boston, USA
ACDL 2020	3rd Advanced Course on Data Science & Machine Learning	Siena - Tuscany
ICDMML 2020	【EI SCOPUS】2020 International Conference on Data Mining and Machine Learning	Bangalore, India
SYSINT 2020	5th International Conference on System-Integrated Intelligence Intelligent, flexible and connected systems in products and production	Bremen, Germany
DEEPDIFFEQ 2020	ICLR Workshop on Integration of Deep Neural Models and Differential Equations	Addis Ababa, Ethiopia
HPML 2020	3rd High Performance Machine Learning Workshop - SUBMISSION EXTENSION FEB 18th	Melbourne - Australia
ESOLEC’19	The Nineteenth Conference on Language Engineering (ESOLEC’19)	Alexandria, Egypt
TTCS 2020	Topics in Theoretical Computer Science	IPM - Iran
LiVe 2020	4th Workshop on Learning in Verification	Dublin, Ireland
ETAB 2020	National Conference on Emerging Trends in AI and Big Data (ETAB-2020)	PICT, Pune, India
LOD 2020	The 6th International Conference on Machine Learning, Optimization & Data Science	Siena - Tuscany, Italy
InteliMobile 2020	Special Issue on Intelligence-driven Mobile Networks for Smart Cities	N/A
IPMU 2020	18th International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems	Lisbon, Portugal
DSBFI 2020	2nd ISSAT International Conference on Data Science in Business, Finance and Industry	Da Nang, Vietnam
DSIS 2020	 2nd ISSAT International Conference on Data Science and Intelligent Systems	Miami, Florida
MLDM 2020	16th International Conference on Machine Learning and Data Mining MLDM 2020	New York
SDS 2020	7th Swiss Conference on Data Science	KKL Luzern, Switzerland
NLP-ARCHES 2020	NLP architectures in the age of end-to-end deep-learning systems	Marseille, France
NetLearn 2020	1th Workshop on Machine Learning for Softwarized Networks (NetLearn) co-located with Netsoft 2020 	Ghent
ICIAR 2020	17th International Conference on Image Analysis and Recognition	Povoa, Porto, Portugal
MLNGSN 2020	The 2nd International Workshop on  Machine Learning for Next  Generation Systems and Networks	 Montreal, Canada.
APWeb-WAIM 2020	The 4th APWeb-WAIM International Joint Conference on Web and Big Data	Tianjin, China
SIoTEC 2020	1st Workshop on Secure IoT, Edge and Cloud systems	Melbourne, Australia
CIMB 2020	EAIS2020 Special Session on Computational Intelligence methods in bioinformatics	Bari, Italy
ICML 2020	37th International Conference on Machine Learning	Vienna, AUSTRIA
ICITCS 2020	iCatse International Conference on IT Convergence and Security 2020	Nha Trang, Vietnam
AIMS 2020	2020 International Conference on AI & Mobile Services Call for Papers- EI Compendex and Scopus	Honolulu, Hawaii, USA
WAAS 2020	IEEE Workshop on Assured Autonomous Systems (WAAS) 2020	HYATT REGENCY, SAN FRANCISCO, CA
SPAWC 2020	21st IEEE INTERNATIONAL WORKSHOP ON SIGNAL PROCESSING ADVANCES IN WIRELESS COMMUNICATIONS	Atlanta, USA
Robophilosophy 2020	International Research Conference Robophilosophy	Aarhus, Denmark
Algorithmic Law Paris 2020	Call for Abstracts Symposium Algorithmic Law and Society - Law and Society Review	Paris, France
RFIW 2020	Recognizing Families In the Wild	Buenos Aire, Argentina
MLHMI--Ei and Scopus 2020	2020 International Conference on Machine Learning and Human-Computer Interaction (MLHMI 2020)--Ei Compendex and Scopus	Singapore
Reservoir Computing @ IJCNN 2020	Challenges in Reservoir Computing - Special Session of IJCNN 2020	Glasgow, UK
SS IJCNN 2020	Special Session on Machine Learning and Deep Learning Approaches for Ambient Assisted Living at IEEE WCCI/IJCNN 2020	Glasgow, Scotland UK
SS-IJCNN 2020	IJCNN Special Issue on Artificial Intelligence and Advanced Machine Learning for Biomedical Signal Processing	Glasgow, Scotland (UK)
CyberSA 2020	IEEE International Conference on Cyber Situational Awareness, Data Analytics and Assessment	Dublin
Cyber Security 2020	IEEE International Conference on Cyber Security and Protection of Digital Services	Dublin
MLA 2020	The International Workshop on Machine Learning Applications	Marrakech, Morocco
 HCIS 2020	14th International Conference on Human-Centered Intelligent Systems (Formally known as IIMSS)	Split, Croatia
ASPAI 2020	2nd International Conference on Advances in Signal Processing and Artificial Intelligence	Novotel Berlin Am Tiergarten, Berlin
MDM 2020	Mobile Data Management	Versailles - France
DDSW 2020	International Workshop on Data-Driven Security (DDSW 2020)	Warsaw, Poland
Scopus-CMVIT 2020	4th International Conference on Machine Vision and Information Technology	Sanya, China
JDSA SI 2020	Springer Journal Special Issue on Data Science for Next-Generation Recommender Systems	N/A
INSIGHT 2020	INSIGHT - scientific data from an aesthetic perspective	Vienna
CanadianAI 2020	33rd Canadian Conference on Artificial Intelligence	Ottawa, Canada
MLDM 2020	16th International Conference on Machine Learning and Data Mining MLDM 2020	New York
SARA 2020	First Workshop on Secure and Resilient Autonomy	Austin, TX
WBIR 2020	9th International Workshop on Biomedical Image Registration	Portoroz, Slovenia
IEA/AIE 2020	33rd International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems	Kitakyushu, Japan
SenSys-ML 2020	SenSys-ML 2020: Workshop on Machine Learning on Edge in Sensor Systems	Sydney, Australia
WSDM 2020	International Workshop on Web Search and Data Mining	Warsaw, Poland
SPCOM 2020	International Conference on Signal Processing and Communications	Bangalore, India
SmartSys 2020	Smart Systems - bringing together computer vision, sensor networks and machine learning	Amsterdam, the Netherlands
Autonomy in CPS 2020	Workshop on Autonomy in Cyber-Physical Systems at CPS-IoT Week	Sydney, Australia
NASFW@WACV 2020	Workshop on Neural Architecture Search for Computer Vision in the Wild @ WACV 2020	Snowmass Village, USA
ICMVA--EI Compendex, Scopus 2020	2020 The 3rd International Conference on Machine Vision and Applications (ICMVA 2020)--EI Compendex, SCOPUS	Yangon, Myanmar
CSCIoT 2019	Enabling Cognitive Smart Cities: Security and Privacy in IoT applications	N/A
IID 2020	Innovative Ideas in Data Science	Taipei
DASFAA 2020	Database Systems for Advanced Applications	Seoguipo KAL Hotel, Jeju, Korea
IEEE BigDataService 2020	6th IEEE Intl. Conf. on Big Data Computing Services and Machine Learning Applications	Oxford, UK
IWSPA 2020	6th ACM INTERNATIONAL WORKSHOP ON SECURITY AND PRIVACY ANALYTICS	New Orleans
SUM'20 (workshop @ WSDM) 2020	State based User Modelling @ WSDM'20 (Texas, Feb'20)	Houston, Texas
CLDD 2020	Classifier Learning from Difficult Data 2020 (ICCS 2020 workshop)	Amsterdam, The Netherlands
FG 2020	Face and Gestures (FG) workshop on Advances and challenges in face and gesture based security systems (ACFGSS 2020)	Argentina
user2agent 2019	IUI 2019 Workshop on User-Aware Conversational Agents	Los Angeles 
NMLA 2020	CfP - Network Modeling, Learning and Analysis (NMLA) Workshop	Budva, Montenegro
BigDataService 2020	6th IEEE Intl. Conf. on Big Data Computing Services and Machine Learning Applications	Oxford, UK
GCAI 2020	6th Global Conference on Artificial Intelligence	Hangzhou, China
ICMLSC--Ei Compendex & Scopus 2020	2020 The 4th International Conference on Machine Learning and Soft Computing (ICMLSC 2020)--Ei Compendex & Scopus	Haiphong City, Vietnam
AI/ML Digital Pathology 2020	AI/Machine Learning for Digital Pathology	LNAI Book project
SI-ATAPS 2019	Special Issue on Advanced Techniques in the Analysis and Prediction of Students' Behaviour in Technology-Enhanced Learning Contexts	N/A
ICIoT 2020	IEEE International Conference on Informatics, IoT, and Enabling Technologies (ICIoT’20) 	Doha Qatar
Machine Learning Computer Networks@ESANN 2020	Machine Learning applied to Computer Networks - Special Session @ ESANN 2020	Bruges, Belgium
AccML 2020	HiPEAC Workshop on Accelerated Machine Learning	Bologna, Italy
ESANN 2020	European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges, Belgium
AIHealth@FLAIRS 2020	AI in Healthcare Informatics Special Track at FLAIRS	North Miami Beach, FL
Reservoir Computing @ ESANN 2020	Frontiers in Reservoir Computing - Special Session of ESANN 2020	Bruges, Belgium
AAAI-MAKE 2020	AAAI 2020 Spring Symposium on Combining Machine Learning and Knowledge Engineering in Practice	Stanford University, Palo Alto, CA, USA
AffCon 2020	AAAI-20 Workshop on Affective Content Analysis	New York City
EvoApps-EML 2020	EvoApps Special Session on Evolutionary Machine Learning	Seville, Spain
SIMLCS 2020	Special Issue on Machine Learning for Cyber-Security (MDPI Journal of INFORMATION)	N/A
ICPRAM 2020	9th International Conference on Pattern Recognition Applications and Methods	Valletta, Malta
VISAPP 2020	15th International Conference on Computer Vision Theory and Applications	Valletta, Malta
AITS 2020	The AAAI-20 Workshop on AI in Team Sports	New York
EvoMUSART 2020	9th International Conference on Artificial Intelligence in Music, Sound, Art and Design	Seville, Spain
EvoStar 2020	The Leading European Event on Bio-Inspired Computation.	Seville, Spain
CDMA  2020	6th Int’l Conference on Data Science and Machine Learning Applications (CDMA 2020)	Riyadh, Saudi Arabia
MEAM 2021	CFP: Handbook of Research on Machine Ethics and Morality	N/A
AMLD 2020	Applied Machine Learning Days	EPFL, Lausanne, Switzerland
BDMIOM 2019	The 2nd International Workshop on Big Data for Marketing Intellegence and Operation Management	Los Angeles, CA
ICxS 2020	5th Special Session on Intelligent and Contextual Systems	Phuket, Thailand
Hand Book on Big Data Analytics 2020	IET Handbooks on Big Data Analytics	N/A
LifeLong@ASRU 2019	Life-Long Learning for Spoken Language Systems Workshop	Sentosa, Singapore
APPIS 2020	3rd International Conference on Applications of Intelligent Systems	Las Palmas de Gran Canaria, Spain
BDACCIP 2019	The 3rd International Workshop on Big Data Analytic for Cyber Crime Investigation and Prevention	Los Angeles, USA
ACMLC--JA, Scopus 2019	2019 3rd Asia Conference on Machine Learning and Computing (ACMLC 2019)--JA, Scopus	University of Hong Kong
ECSA 2019	6th International Electronic Conference on Sensors and Applications	MDPI
FAIR 2019	South African Forum for AI Research	Cape Town
MLHRM 2019	Second Workshop on Machine Learning Approaches in High Resolution Microscopy Imaging	San Diego, CA, USA
ICMTEL 2020	 2nd EAI International Conference on Multimedia Technology and Enhanced Learning	Leicester, Great Britain
SeMP 2019	First International Workshop on Bridging the Gap between Semantics and Multimedia Processing	San Diego, CA, USA
FinancialNews&Data-IEEE-BigData 2019	The 3rd International Workshop on Big Data for Financial News and Data	Los Angeles, CA, USA
ITNG 2020	17th Annual International Conference on Information Technology: New Generations	Las Vegas, NV, USA
SDM 2020	SIAM International Conference on Data Mining	Cincinnati, Ohio, USA
AI2OT 2019	The First International Workshop on Artificial Intelligence Applications in Internet of Things 	Hong Kong
CIIS--Ei, Scopus 2019	2019 The 2nd International Conference on Computational Intelligence and Intelligent Systems (CIIS 2019)--Ei Compendex, Scopus	Bangkok, Thailand
TMPA 2019	Software Testing, Machine Learning and Complex Process Analysis	Tbilisi, Georgia
CABB 2019	Causal Analytics for Bioinformatics and Biomedicine 2019	San diego, US
