acronym	title	location
AHMIS--EI Compendex, Scopus 2020	2020 Asia Human-Computer Interaction Symposium (AHMIS 2020)--EI Compendex, Scopus	Shanghai, China
ICDL 2020	ICDL 2020: IEEE International Conference on Development and Learning (ICDL)	Valparaiso, Chile
ICCSSE--IEEE, Ei & Scopus 2020	IEEE--2020 6th International Conference on Control Science and Systems Engineering (ICCSSE 2020)--EI Compendex, Scopus	Beijing, China
ICPAM--Ei Compendex and Scopus 2020	2020 9th International Conference on Pure and Applied Mathematics (ICPAM 2020)--EI Compendex, SCOPUS	Athens, Greece
ICONS 2020	International Conference on Neuromorphic Systems 2020	Chicago, IL
IEEE--ICISE--Ei Compendex & Scopus 2020	IEEE--2020 the 5th International Conference on Information Systems Engineering (ICISE 2020)--Ei Compendex & Scopus	Manchester, UK
BDE--ACM, Ei Compendex and Scopu 2020	ACM--2020 2nd International Conference on Big Data Engineering (BDE 2020)--Ei Compendex, Scopus	Shanghai, China
AIBT--Scopus, Ei 2020	2020 International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2020)--Scopus, Ei Compendex	Beijing, China
AI4XR 2020	International Workshop on Artificial Intelligence for Extended Reality (VR/AR)	Corfu, Greece
AI4XR 2020	International Workshop on Artificial Intelligence for Extended Reality	Corfu, Greece
ICDMA--EI, Scopus 2020	2020 The 7th International Conference on Digital Manufacturing and Automation (ICDMA 2020)--EI Compendex, Scopus	Osaka, Japan
desAIgn 2020	International Conference on the impact of Artificial Intelligence on Contemporary Design	HIT- Holon Institute of Technoln, Israel
ICARA--IEEE, Ei, Scopus 2020	IEEE--2020 7th International Conference on Automation, Robotics and Applications (ICARA 2020)--Ei Compendex, Scopus	Czech Republic
ACM--ICAII--Ei Compendex, Scopus 2020	ACM--2020 International Conference on Artificial Intelligence Innovation (ICAII 2020)--Ei Compendex, Scopus	Chengdu, China
IEEE--ICHST--Ei Compendex, Scopus 2020	IEEE--2020 2nd International Conference on Hardware Security and Trust (ICHST 2020)--Ei Compendex, Scopus	Nanjing, China
IOP--ICIPCE--Ei, Scopus 2020	IOP--2020 4th International Conference on Information Processing and Control Engineering (ICIPCE 2020)--Ei Compendex, Scopus	University of California, Berkeley, USA
ACM--ICRSA--Ei Compendex, Scopus 2020	ACM--2020 3rd International Conference on Robot Systems and Applications (ICRSA 2020)--Ei Compendex, Scopus	Chengdu, China
JFPC 2020	Seizièmes Journées Francophones de Programmation par Contraintes	Nice, France
SPIE--IWPR--Ei Compendex, Scopus 2020	SPIE--2020 the 5th International Workshop on Pattern Recognition (IWPR 2020)--Ei Compendex, Scopus	Chengdu, China
IEEE--ICRAS--Ei and Scopus 2020	2020 4th IEEE International Conference on Robotics and Automation Sciences (ICRAS 2020)--Ei Compendex & Scopus	Chengdu, China
RAPRAI 2020	Recent Advances in Pattern Recognition and Artificial Intelligence	N/A
AI&6G networks 2020	Harnessing the Potential of AI for Modeling 6G Networks	N/A
SCOM  2020	8th International Conference on Soft Computing	Sydney, Australia
AI & FL 2020	8th International Conference of Artificial Intelligence and Fuzzy Logic	Dubai, UAE
IoTHealthcare 2020	IEEE COINS | IoT , AI, and Big Data for Healthcare Track	Barcelona, Spain
FAIML 2020-Ei Compendex & Scopus 2020	2020 2nd International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2020)	Berlin, Germany
IEEE--ICAIBD--Ei and Scopus 2020	IEEE--2020 3rd International Conference on Artificial Intelligence and Big Data (ICAIBD 2020)--Ei Compendex, Scopus	Chengdu, China
AI ML Big Data Vision 2020	IEEE COINS  | Artificial Intelligence | Machine Learning | Deep Learning | Machine Vision | Big Data Analytics | Video Analytics | Speech Recognition | NLP 	Barcelona, Spain
ECML PKDD 2020	ECML PKDD Call for Research/Applied Data Science papers	Ghent
ETRIJ 5G&B5G 2020	ETRI Journal Special Issue on 5G & B5G Enabling Edge Computing, Big Data & Deep Learning Technologies	N/A
ICIMP--EI and Scopus 2020	2020 3rd International Conference on Information Management and Processing (ICIMP 2020)--Ei Compendex and Scopus	Portsmouth, United Kingdom
CD-MAKE 2020	4th International IFIP Cross Domain Conference for Machine Learning & Knowledge Extraction	University College Dublin
KGSWC 2020	2nd Iberoamerican Knowledge Graph and Semantic Web Conference	Mexico
NLPAI--Ei Compendex, Scopus 2020	2020 International Conference on Natural Language Processing and Artificial Intelligence (NLPAI 2020)--Ei Compendex, Scopus	Sichuan University, Chengdu, China
PRML--Ei Compendex, Scopus 2020	2020 International Conference on Pattern Recognition and Machine Learning (PRML 2020)--Ei Compendex, Scopus	Sichuan University, Chengdu, China
InterSymp 2020	32nd International Conference on Systems Research, Informatics and Cybernetics, Special Focus Symposium on ADVANCES IN ARTIFICIAL INTELLIGENCE	Baden Baden, Germany
ICINT--Ei Compendex & Scopus 2020	2020 5th International Conference on Information and Network Technologies (ICINT 2020)--Ei Compendex & Scopus	Okinawa, Japan
ICRIT--JA, Scopus 2020	2020 3rd International Conference on Robotics and Intelligent Technology (ICRIT 2020)--JA, Scopus	Okinawa, Japan
MCUBED 2020	Mcubed AI London - AI, ML and analytics conference	London
ICMIM--EI Compendex and Scopus 2020	2020 The 4th International Conference on Materials and Intelligent Manufacturing (ICMIM 2020)--Ei Compendex, Scopus	Osaka, Japan
ICAI 2020	International Conference on Artificial Intelligence	Larache, Morocco
IEEE-CTISC  2020	2020 2nd International Conference on Advances in Computer Technology, Information Science and Communications (CTISC 2020)	Suzhou, China
IEEE-CVIV 2020	2020 2nd International Conference on Advances in Computer Vision, Image and Virtualization (CVIV 2020)	Suzhou, China
ICINCO 2020	17th International Conference on Informatics in Control, Automation and Robotics	Lieusaint - Paris, France
DLonSC 2020	The 4th International Workshop on Deep Learning on Supercomputers	Frankfurt, Germany
AMMS--EI Compendex and Scopus 2020	2020 2nd International Applied Mathematics, Modelling and Simulation Conference (AMMS 2020)--EI Compendex, Scopus	Paris, France
ICoMS--EI and SCOPUS 2020	2020 3rd International Conference on Mathematics and Statistics (ICoMS 2020)--Ei Compendex, Scopus	Paris, France
AICON 2020	2nd EAI International Conference on Artificial Intelligence for Communications and Networks	Shenzhen, People's Republic of China
IEEE-IIB 2020	IEEE-IIB: Call for PhD thesis abstracts	N/A
PPSN 2020	Parallel Problem Solving from Nature	Leiden
IEEE--ACIRS--Ei and Scopus 2020	IEEE--2020 5th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2020)--EI Compendex, Scopus 	Singapore
BDAI--Ei and Scopus 2020	2020 3rd International Conference on Big Data and Artificial Intelligence (BDAI 2020)--EI Compendex, Scopus	Ocean University of China, Qingdao,China
HPCCT--ACM, EI, Scopus 2020	ACM--2020 4th High Performance Computing and Cluster Technologies Conference (HPCCT 2020)--EI Compendex, Scopus	Ocean University of China, Qingdao,China
WCMSE--Ei Compendex, Scopus 2020	2020 2nd World Conference on Management Science and Engineering (WCMSE 2020)--Ei Compendex, Scopus	London, UK
IMMS--ACM, Ei, Scopus 2020	ACM--2020 3rd International Conference on Information Management and Management Science (IMMS 2020)--Ei Compendex, Scopus	London, UK
IEEE ICSGSC--EI, Scopus 2020	2020 The 4th. IEEE International Conference on Smart Grid and Smart Cities (ICSGSC 2020)--EI Compendex, Scopus	Osaka, Japan
SPIE ESD 2020	SPIE Security+Defence 2020	Edingburgh
META-MACHINE-SYNERGISTIC  2020	Metaheuristic schemes and Machine learning techniques: A synergistic perspective. (Applied Mathematical Modelling Elsevier IF=2.841, Q1)	N/A
PHAI 2020	3rd Panel on Humor and Artificial Intelligence	Bertinoro, Italy
KES 2020	Classification, forecasting and decision support - invited session at KES2020 	Verona, Italy
BENCHMARK 2020	GECCO 2020 Workshop - Good Benchmarking Practices for Evolutionary Computation 	Cancun, Mexico
KES 2020	24th International Conference on Knowledge Based and Intelligent information and Engineering Systems	Verona, Italy 
ICNLP--Ei and Scopus 2020	2020 2nd International Conference on Natural Language Processing (ICNLP 2020)--EI Compendex, Scopus	Guangzhou, China
ICRMV--EI, Scopus 2020	2020 The 5th International Conference on Robotics and Machine Vision (ICRMV 2020)--Ei Compendex, Scopus	Seoul, Korea
ICNLP--Ei Compendex and Scopus 2020	2020 2nd International Conference on Natural Language Processing (ICNLP 2020)--EI Compendex, Scopus	Guangzhou, China
CVIT--EI Compendex, Scopus 2020	2020 International Conference on Computer Vision and Information Technology (CVIT 2020)--EI Compendex, Scopus	Beijing, China
Ei/Scopus-PRIS 2020	 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2020)	Athens, Greece
EI/SCOPUS-PRA 2020	2020 Workshop on Pattern Recognition Applications (PRA 2020) 	Athens, Greece 
CCET--EI Compendex and Scopus 2020	2020 3rd International Conference on Computer and Communication Engineering Technology (CCET 2020)--EI Compendex, Scopus	Beijing, China
ACM--ICRCA--Ei Compendex and Scopus 2020	ACM--2020 The 5th International Conference on Robotics, Control and Automation (ICRCA 2020)--Ei Compendex, Scopus	Seoul, Korea
CSEA--Ei Compendex and Scopus 2020	2020 The 2nd International Conference on Computer, Software Engineering and Applications (CSEA 2020)--Ei Compendex, Scopus	aichung Software Park, Taichung, Taiwan
AISA 2020	THE 1ST IEEE SERVICES WORKSHOP ON ARTIFICIAL INTELLIGENCE AND SERVICES ADAPTION	Beijing China
FCRAR 2020	Florida Conference on Recent Advances in Robotics	Melbourne, Florida, USA
IEEE ICIVC--Ei, Scopus 2020	2020 5th IEEE International Conference on Image, Vision and Computing (IEEE ICIVC 2020)--Ei Compendex, Scopus	Beijing, China
ICITS--EI, SCOPUS 2020	2020 The 8th International Conference on Information Technology and Science (ICITS 2020)--Scopus, Ei Compendex	Shanghai, China
WCSE--Ei Compendex and Scopus 2020	2020 the 10th International Workshop on Computer Science and Engineering (WCSE 2020)--Scopus, Ei Compendex	Shanghai, China
ICIMH--Scopus, Ei Compendex 2020	2020 The 2nd International Conference on Intelligent Medicine and Health (ICIMH 2020)--Ei Compendex, Scopus	Macao, China
ICIIP 2020	2020 9th International Conference on Intelligent Information Processing (ICIIP 2020)	Liverpool, United Kingdom
Scopus-ACMR 2020	2020 Asian Conference on Mechanisms and Robotics (ACMR 2020) 	China, Wuhan
EI-ACMR 2020	2020 Asian Conference on Mechanisms and Robotics (ACMR 2020) 	China, Wuhan
PRAI--Ei Compendex, Scopus 2020	2020 the 3rd International Conference on Pattern Recognition and Artificial Intelligence (PRAI 2020)--Ei Compendex, Scopus	Chengdu, China
ICCCV--Ei and Scopus 2020	2020 The 3rd International Conference on Control and Computer Vision (ICCCV 2020)--Ei Compendex, Scopus	Macao, China
ACM--ICDLT--Ei and Scopus 2020	ACM--2020 4th International Conference on Deep Learning Technologies (ICDLT 2020)--Ei Compendex, Scopus	Beijing, China
ICDPA--Scopus, Ei Compendex 2020	2020 6th International Conference on Data Processing and Applications (ICDPA 2020)--Scopus, Ei Compendex	Shanghai, China
eScience 2020	eScience International Conference	Osaka, Japan
CSIT 2020	2020 IEEE 15th International Conference on Computer Sciences and Information Technologies (CSIT)	Zbarazh, Ukraine
BDDLIT 2020	Special session on Big data and Deep Learning for Intelligent Transportation (AISI2020), Springer	Cairo, Egypt
BigMM 2020	IEEE International Conference on Multimedia Big Data 2020	Jawaharlal Nehru University, New Delhi
CG  2020	Computers and Games 2020	Santiago de Compostela Spain
EPIA 2020	20th EPIA Conference on Artificial Intelligence	Lisboa
ICRV--IEEE, EI, Scopus 2020	IEEE--2020 The 5th International Conference on Robotics and Vision (ICRV 2020)--Ei compendex, scopus	University of Oxford, UK
MAS 2020	International Conference on Modelling & Applied Simulation	Greece, Athens
IEEE--IRCE--EI Compendex, Scopus 2020	IEEE--2020 The 3rd International Conference on Intelligent Robotic and Control Engineering (IRCE 2020)--Ei compendex, Scopus	University of Oxford, UK
MASTA@EPIA 2020	MultiAgent Systems: Theory and Applications (Thematic Track at EPIA2020)	Oeiras, Portugal
ICCMS--EI Compendex, Scopus 2020	2020 The 12th International Conference on Computer Modeling and Simulation (ICCMS 2020)--EI Compendex, Scopus	Brisbane, Australia
WEDMAIT 2020	1TH International Workshop on Enterprise Decision-Making Applying Artificial Intelligence Techniques (WEDMAIT 2020)	Medellin, Colombia
SI-UNCAB 2020	Natural Computing - Special Issue on Understanding Natural Computing Algorithm Behaviour	N/A
ICICA--ACM, Ei, Scopus 2020	ACM--2020 The 9th International Conference on Intelligent Computing and Applications (ICICA 2020)--EI Compendex, Scopus	Brisbane, Australia
EAI MLICOM 2020	MLICOM 2020 - 5th EAI International Conference on Machine Learning and Intelligent Communications	Shenzhen, People's Republic of China
ICAIF 2020	ACM International Conference on AI in Finance	New York City
AIME 2020	AIME 2020 International Conference on Artificial Intelligence in Medicine	Minneapolis MN, USA
ICAPAI 2020	International Conference on APplied Artificial Intelligence (ICAPAI 2020)	Halden, Norway
ACM--ICMLC--Ei and Scopus 2020	ACM--2020 12th International Conference on Machine Learning and Computing (ICMLC 2020)--SCOPUS, Ei Compendex	Shenzhen, China
EI/SCOPUS-UPIOT 2020	2020 International Conference on Ubiquitous Power Internet of Things (UPIOT 2020)	Xi'an, China
Call for Workshop Proposal - AIIA  2020	The 19th International Conference of the Italian Association for Artificial Intelligence	Milan, Italy
CTCE--Ei Compendex, Scopus 2020	2020 International Conference on Control Theory and Control Engineering (CTCE 2020)--Ei Compendex, Scopus	Beijing, China
IEEE ICITE--EI Compendex, Scopus 2020	2020 IEEE 5th International Conference on Intelligent Transportation Engineering (ICITE 2020)--EI Compendex, Scopus	Beijing, China
ACM--ICAL--Ei Compendex, Scopus 2020	ACM--2020 International Conference on Automation and Logistics (ICAL 2020)--Ei Compendex, Scopus	Beijing, China
YSC 2020	9th International Young Scientists Conference in Computational Science	Heraklion, Greece
Blockchain 2020	 The Second Workshop on Blockchain	Chongqing, China
PRIMA 2020	The 23nd International Conference on Principles and Practice of Multi-Agent Systems	Nagoya, Japan
META 2020	Int. Conf. on Metaheuristics and Nature Inspired Computing	Marrakech, Morocco
IEEE ICMRA--Ei compendex, scopus 2020	2020 IEEE 3rd International Conference on Mechatronics, Robotics and Automation (ICMRA 2020)--Ei compendex, scopus	Shanghai, China
ICTLE--Ei Compendex 2020	2020 8th International Conference on Traffic and Logistic Engineering (ICTLE 2020)--Ei Compendex	Shenzhen, China
FL-IJCAI 2020	International Workshop on Federated Learning for User Privacy and Data Confidentiality in Conjunction with IJCAI 2020 (FL-IJCAI'20)	Yokohama, Japan
MCS 2020	Monte Carlo Search 2020, IJCAI Workshop	Yokohama, Japan
IWECAI 2020	2020 International Workshop on Electronic communication and Artificial Intelligence	Qingdao, China
AI-BD-HS 2020	Artificial Intelligence and Big Data in Resources Poor Healthcare Systems (Springer Nature Book series)	N/A
IJAR Special Issue 2020	Special Issue of International Journal of Approximate Reasoning on Knowledge Enhanced Data Analytics for Autonomous Decision Making	N/A
ICAC 2020	The 26th IEEE International Conference on Automation and Computing (ICAC’20)	Portsmouth, UK
ISAIR 2020	The 5th International Symposium on Artificial Intelligence and Robotics 	Fukuoka, Japan
IEEE SmartIoT 2020	IEEE International Conference on Smart Internet of Things	Beijing, China
AIC  2020	AIC 2020 - 8th International Workshop on Artificial Intelligence and Cognition, Örebro 2-4 September 2020	 Örebro, Sweden
EAIT--ACM, EI, Scopus 2020	ACM--2020 The International Conference on Education and Artificial Intelligence Technologies (EAIT 2020)--EI Compendex, Scopus	Northumbria University London Campus, UK
ICITT--EI Compendex, Scopus 2020	2020 4th International Conference on Intelligent Traffic and Transportation (ICITT 2020)--EI Compendex, Scopus	Paris, France
ICAAI--ACM, Ei Compendex, Scopus 2020	ACM--2020 The 4th International Conference on Advances in Artificial Intelligence (ICAAI 2020)--EI Compendex, Scopus	Northumbria University London Campus, UK
ICACS--ACM, Ei and Scopus 2020	ACM--2020 4th International Conference on Algorithms, Computing and Systems (ICACS 2020)--Ei Compendex, Scopus	Berlin, Germany
AI4Function 2020	First Workshop on Artificial Intelligence for Function, Disability, and Health (AI4Function 2020)	Yokohama, Japan
MLMI--Ei, Scopus 2020	2020 The 3rd International Conference on Machine Learning and Machine Intelligence (MLMI 2020)--Ei Compendex, Scopus	Hangzhou, China
EI-AIAAT 2020	4th International Conference on Artificial Intelligence Applications and Technologies (AIAAT 2020)	Shenzhen, China
Scopus/EI-ICACR 2020	4th International Conference on Automation, Control and Robotics (ICACR 2020)	Shenzhen , China
Call for Book Chapter 2020	 Deep Learning and Big Data for Intelligent Transportation: Enabling Technologies and Future Trends	N/A
EMNLP 2020	Conference on Empirical Methods in Natural Language Processing	Punta Cana, Dominican Republic
iMpacT 2020	AMTA 2020 Workshop on the Impact of Machine Translation 	Orlando, Florida, USA
AIVR--Ei and Scopus 2020	2020 4th International Conference on Artificial Intelligence and Virtual Reality (AIVR 2020)--Ei Compendex, Scopus	Kumamoto, Japan
AIRS 2020	The Second International Symposium on Artificial Intelligence, IoT, Robotics and Smart Systems 	Rome, Italy
IBERAMIA 2020	17th bero‐American Conference on Artificial Intelligence	Cartagena de Indias, Colombia
ICMU 2020	The 13th International Conference on Mobile Computing and Ubiquitous Networking	Tokyo, Japan
ECTA 2020	12th International Conference on Evolutionary Computation Theory and Applications	Budapest, Hungary
FCTA 2020	12th International Conference on Fuzzy Computation Theory and Applications	Budapest, Hungary
SPRA--EI, Scopus 2020	2020 Symposium on Pattern Recognition and Applications (SPRA 2020)--EI Compendex, Scopus	Rome, Italy
ACM--ESSE--Ei Compendex, Scopus 2020	ACM--2020 European Symposium on Software Engineerings (ESSE 2020)--Ei Compendex, Scopus	Rome, Italy
ACM--SPML--EI Compendex, Scopus 2020	ACM--2020 3rd International Conference on Signal Processing and Machine Learning (SPML 2020)--EI Compendex, Scopus	Beijing, China
AITC--ACM, Ei and Scopus 2020	ACM--2020 2nd International Artificial Intelligence Technology Conference (AITC 2020)--EI Compendex, Scopus	Beijing, China
Scopus-BDAI 2020	2020 International Conference on Industrial Applications of Big Data and Artificial Intelligence (BDAI 2020)	Shenzhen, China
DS 2020	23rd International Conference on Discovery Science	Thessaloniki, Greece
AIIA 2020	CFP - The 19th International Conference of the Italian Association for Artificial Intelligence	Milan, Italy
CFAIS 2020	2020 International Conference on Frontiers of Artificial Intelligence and Statistics (CFAIS 2020)	Seoul, South Korea
CBIR 2020	Content-Based Image Retrieval:  where have we been, and where are we going	Milan, Italy
SI-Drones 2020	Sensors MDPI | SI on Unmanned Aerial Vehicle Sensor Networks 	N/A
ICIMA--Ei Compendex, Scopus 2020	2020 the 4th International Conference on Intelligent Manufacturing and Automation Engineering (ICIMA 2020)--Ei Compendex, Scopus	Wuhan, China
DiPP 2020	Digital Presentation and Preservation of Cultural and Scientific Heritage	Burgas, Bulgaria
BENCHMARK 2020	PPSN 2020 Workshop - Good Benchmarking Practices for Evolutionary Computation	Leiden University, The Netherlands
SMC 2020	 Smoky Mountain Conference	Kingsport, TN, United States
ICCPR--Ei and Scopus 2020	2020 9th International Conference on Computing and Pattern Recognition (ICCPR 2020)--Ei Compendex, Scopus	Xiamen, China
ai4i 2020	Artificial Intelligence for Industries	Irvine, CA
TransAI 2020	Transdisciplinary AI	Irvine, CA
MedPRAI 2020	4th Mediterranean Conference on Pattern Recognition and Artificial Intelligence	Hammamet, Tunisia
IEEE FRUCT 2020	27th Conference of Open Innovations Association FRUCT	Trento, Italy
NMR  2020	18th INTERNATIONAL WORKSHOP ON NON-MONOTONIC REASONING	Rhodes, Greece
SCIS&ISIS 2020	Joint 11th International Conference on Soft Computing and Intelligent Systems and 21st International Symposium on Advanced Intelligent Systems	Hachijo island, Tokyo, Japan
ISCAI 2020	2020 2nd International Symposium on Computing and Artificial Intelligence (ISCAI 2020)	Newcastle upon Tyne, UK
ICMSTTL--EI Compendex and Scopus 2020	2020 The 2nd International Conference on Mathematics, Science and Technology Teaching and Learning (ICMSTTL 2020)--EI Compendex, Scopus	Sydney Campus, Australia
WI 2020	Web Intelligence	Melbourne, Australia
SPIE--VRIS--EI Compendex, Scopus 2020	SPIE--2020 2nd International Conference on Virtual Reality and Intelligent System (VRIS 2020)--EI Compendex, Scopus	Jianguo Hotel Xi'an, Xi'an, China
HCCAI 2020	IEEE Humanized  Computing and Communication with Artificial Intelligence	Irvine, CA
VRIS--SPIE, EI, Scopus 2020	SPIE--2020 2nd International Conference on Virtual Reality and Intelligent System (VRIS 2020)--EI Compendex, Scopus	Jianguo Hotel Xi'an, Xi'an, China
EI/SCOPUS-ICDPR 2021	5th International Conference on Data Processing and Robotics (ICDPR 2021)	Phuket, Thailand
NLPIR--ACM, Ei and Scopus 2020	ACM--2020 4th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2020)--Scopus, Ei Compendex	Sejong University, Korea
MAAIDL 2020	Springer Book 'Malware Analysis using Artificial Intelligence and Deep Learning'	N/A
CFMAI 2020	2020 2nd International Conference on Frontiers of Mathematics and Artificial Intelligence (CFMAI 2020)	Bangkok, Thailand
ACM--AICCC--EI Compendex, Scopus 2020	ACM--2020 3rd Artificial Intelligence and Cloud Computing Conference (AICCC 2020)--EI Compendex, Scopus	Kyoto, Japan
AICI 2021	The Second International Conference on Artificial Intelligence and Computational Intelligence (AICI 2021)	Hanoi, Vietnam
EI-JCRAI 2020	2020 International Joint Conference on Robotics and Artificial Intelligence (JCRAI 2020)	Tokyo, Japan
SIUSAI 2021	2021 International Symposium on Intelligent Unmanned Systems and Artificial Intelligence(SIUSAI 2021)	Singapore
AIKE 2020	IEEE Artificial Intelligence & Knowledge Engineering 2020	Irvine, CA
AICA 2020	O'Reilly AI Conference San Jose	San Jose, CA
