acronym,title,location
DTW 2018,"2018 Data Teaching Workshop – 5th Workshop on Curricula and Teaching Methods in Cloud Computing, Big Data, and Data Science","Nicosia, Cyprus"
UCC 2018,11th IEEE/ACM International Conference on Utility and Cloud Computing,"Technopark Zurich, Switzerland"
IDAA 2018,International Workshop of Intelligent Data Analytics and Applications (Joint with JSAI International Symposia on AI),Japan
BDBI 2018,International Workshop on Big Data and Business Intelligence ,"Leuven, Belgium"
INIS 2018,Fog Computing for Intelligent Systems,N/A
HealthyIoT 2018,5th EAI International Conference on IoT Technologies for HealthCare,"Guimarães, Portugal"
WORKS 2018,13th Workflows in Support of Large-Scale Science Workshop,"Dallas, TX"
RAICoM 2018,International Conference on Recent Advances in Intelligent and Connected Mobility ,Coimbra – Portugal
DSEA 2018,The Second International Workshop on Data Science Engineering and its Applications ,"Valencia, Spain"
BDSN 2018,The 6th International workshop on Big Data and Social Networking Management and Security,"Valencia, Spain"
WDKE 2018,Second Workshop on Data and Knowledge Engineering,"Iquique, Chile"
BDCC 2018,EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing,"Coimbatore, India"
ES 2018,The 6th International Conference on Enterprise Systems,"St. Raphael Resort, Limassol, Cyprus"
IoTaaS 2018,4th EAI International Conference on IoT as a Service,"Xi‘an, People's Republic of China"
Data Privacy 2018,"CFP - Data, Privacy and the Individual",Madrid
SMCDC 2018,2018 Smoky Mountains Conference Data Challenge.,"Gatlinburg, TN"
AACR - AI in Cancer 2018,"AACR - Artificial Intelligence, Big Data and Prediction in Cancer",Rhode Island
INIS 2018,Intelligent Networks with NFV/SDN and Big Data,N/A
SKG 2018,"The 14th International Conference on Semantics, Knowledge and Grids on Big Data, AI and Future Interconnection Environment","Guangzhou, China"
ITU-J2- 2018,ITU Journal: ICT Discoveries - Special issue 2 - Data for Good,N/A
CyberC 2018,The 10th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,China
AusDM (Statistics in Data Science) 2018,The 16th Australasian Data Mining Conference (Special Track: Statistics in Data Science),"Bathurst, NSW, Australia "
ICT-DM 2018,5TH INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES FOR DISASTER MANAGEMENT,"Sendai, Japan"
ICCBB 2018,"2018 International Conference on Cloud Computing, Big Data and Blockchain (ICCBB 2018)","Fuzhou, China"
IDEAL  2018,19th International Conference on Intelligent Data Engineering and Automated Learning,Madrid
ICDIM 2018,Thirteenth International Conference on Digital Information Management (ICDIM 2018),Berlin
SPFC 2018,International Workshop on Security and Privacy in Fog and Cloud Computing (SPFC2-18),"leuven, Belgium"
"ArtsIT (Ei, ISI, Scopus) 2018","7th EAI International Conference: ArtsIT, Interactivity & Game Creation -- Springer, Ei Compendex, ISI Web of Science, Scopus","Portugal, Braga"
BDVA  2018,4th International Symposium on Big Data Visual and Immersive Analytics,"Konstanz, Germany"
IDCS 2018,The 11th International Conference on Internet and Distributed Computing Systems,Tokyo
Big Data 2018,The 6th International Workshop on Big Data,China
ITME 2018,IEEE 9th International Conference on Information Technology in Medicine and Education,"Hangzhou, China"
BDBI 2018,International Workshop on Big Data and Business Intelligence (BDBI’2018),"Leuven, Belgium"
CF-BD @ CEEC 2018,"Special Session on Computational Finance, Economics and Big Data at CEEC 2018","Colchester, UK"
ICBDA 2018,International Congress on Big Data & Analytics 2018,"Bangkok, Kingdom of Thailand"
CEEC 2018,10th Computer Science and Electronic Engineering Conference,"Colchester, UK"
ICMLB 2018,International Conference on Machine Learning and Big Data 2018,"Essex, UK"
CloudTech 2018,CloudTech 2018 : The 4th International Conference on Cloud Computing Technologies and Applications,"Brussels, Belgium"
IEEE ICBK 2018,The 9th IEEE International Conference on Big Knowledge,Singapore
ADMA 2018,Advanced Data Mining and Applications,"Nanjing, China"
IEEE HiPC 2018,"25th IEEE International Conference on High Performance Computing, Data, and Analytics (HiPC 2018)","Bengaluru, India"
SI: Cloud-Big Data (SIMPAT) 2018,"Special Issue on Modeling and Simulation of Cloud Computing and Big Data, Simulation Modelling Practice and Theory, Elsevier",N/A
BDA 2018,"34ème Conférence sur la Gestion de Données – Principes, Technologies et Applications","Bucarest, Romania"
GCCE-OS-DSC 2018,IEEE GCCE 2018 Organized Session on Data Science and Its Application to Consumer Technology,"Nara, Japan"
CIMPS 2018,7th International Conference on Software Process Improvement,http://www.cucei.udg.mx/
ACSAC 2018,Annual Computer Security Applications Conference,"San Juan, Puerto Rico, USA"
SNMAM 2018,Track on Social Network and Media Analysis and Mining - SIMBig 2018,"Lima, Peru"
2CBDIoT 2018,"International Workshop on Cloud Computing, Big Data and Internet of Things","Porto, Portugal"
NLIWoD-4 & QALD-9 2018,4th International Workshop on Natural Language Interfaces for Web of Data (NLIWoD) &  9th Question Answering over Linked Data challenge,"Montarey, California"
IDCS 2018,The 11th International Conference on Internet and Distributed Computing Systems,Tokyo
CloudComp 2018,8th EAI International Conference on Cloud Computing,"Newcastle, UK"
EUSPN 2018,Call for Workshop Proposals – Emerging Ubiquitous Systems and Pervasive Networks 2018,Belgium
